Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Prod_Decision_Date),DAY(Customer_Open_Date),YEAR(BirthDate),YEAR(Prod_Decision_Date),YEAR(Customer_Open_Date),MONTH(BirthDate),MONTH(Prod_Decision_Date),MONTH(Customer_Open_Date),WEEKDAY(BirthDate),WEEKDAY(Prod_Decision_Date),WEEKDAY(Customer_Open_Date),Net_Annual_Income_transform,Y
2.0,10,1.0,1,6,19,15,1982,2012,2005,11,2,5,5,6,6,36.0,0
4.0,6,2.0,1,22,12,9,1972,2012,2012,3,1,1,2,3,0,80.0,1
3.0,16,1.0,1,9,5,6,1969,2011,2009,1,6,4,3,6,0,18.0,0
0.0,15,1.0,1,11,1,29,1964,2012,2012,5,4,3,0,6,3,36.0,0
0.0,10,11.0,1,6,5,2,1973,2012,2012,2,1,1,1,3,0,36.0,0
0.0,15,1.0,1,27,20,14,1950,2011,2011,7,8,7,3,5,3,30.0,0
0.0,10,10.0,1,13,22,19,1973,2011,2011,8,9,9,0,3,0,50.0,1
0.0,30,1.0,1,26,22,29,1968,2012,2012,8,3,2,0,3,2,25.0,0
2.0,15,16.0,1,10,24,8,1957,2011,1992,3,5,4,6,1,2,100.0,1
3.0,4,1.0,1,17,30,4,1949,2011,2011,6,10,9,4,6,6,20.0,0
2.0,5,3.0,1,23,26,31,1985,2012,2012,10,2,1,2,6,1,51.0,1
0.0,7,1.0,1,7,9,8,1986,2011,2011,4,5,5,0,0,6,36.0,0
2.0,11,6.0,1,25,26,16,1973,2011,2011,5,9,8,4,0,1,36.0,0
0.0,34,4.0,1,2,5,31,1977,2011,2011,3,6,5,2,6,1,54.0,0
4.0,1,1.0,1,9,17,12,1967,2011,2011,7,10,10,6,0,2,50.0,0
0.0,15,1.0,1,9,8,27,1984,2011,2011,9,8,7,6,0,2,3096.0,0
0.0,15,1.0,1,5,18,2,1960,2012,2012,5,1,1,3,2,0,30.0,0
3.0,40,1.0,1,10,2,27,1956,2012,2011,5,1,12,3,0,1,180.0,0
2.0,1,1.0,1,22,15,14,1969,2012,2012,5,2,2,3,2,1,36.0,0
0.0,1,1.0,2,27,18,9,1966,2011,2011,3,10,10,6,1,6,36.0,0
3.0,40,10.0,1,27,4,28,1972,2012,1997,9,3,12,2,6,6,100.0,0
3.0,1,2.0,1,8,8,1,1968,2012,2012,4,3,3,0,3,3,36.0,0
0.0,15,1.0,1,7,13,12,1984,2012,2012,5,2,2,0,0,6,36.0,1
2.0,17,20.0,1,23,6,15,1961,2012,2012,3,2,1,3,0,6,220.0,0
0.0,15,1.0,1,10,31,24,1981,2011,2011,6,10,10,2,0,0,30.0,0
1.0,23,3.0,1,16,28,27,1985,2011,2011,6,8,8,6,6,5,82.0,0
0.0,10,0.0,1,14,15,1,1969,2012,2005,2,1,7,4,6,4,100.0,0
2.0,1,1.0,2,12,4,25,1978,2011,2009,9,5,11,1,2,2,18.0,0
0.0,20,1.0,1,6,21,20,1987,2011,2011,8,6,6,3,1,0,20.0,0
0.0,10,19.0,1,26,4,4,1960,2011,2009,5,8,1,3,3,6,36.0,0
1.0,6,21.0,1,22,18,15,1969,2011,2011,11,9,9,5,6,3,20.0,0
1.0,5,19.0,1,19,26,15,1963,2012,2011,1,1,8,5,3,0,5184.0,0
0.0,15,1.0,1,11,27,26,1975,2011,2011,11,9,9,1,1,0,30.0,0
0.0,15,1.0,1,7,29,20,1979,2011,2011,1,12,12,6,3,1,30.0,0
0.0,1,1.0,1,15,27,26,1971,2012,2012,10,3,3,4,1,0,36.0,0
0.0,1,1.0,1,12,31,2,1974,2011,2011,4,7,1,4,6,6,20.0,0
0.0,4,10.0,1,29,22,14,1971,2011,2011,8,9,9,6,3,2,36.0,0
0.0,15,1.0,1,4,18,18,1967,2012,2010,4,1,8,1,2,2,96.0,0
1.0,4,1.0,1,26,14,24,1981,2011,2010,7,8,8,6,6,1,20.0,0
4.0,15,1.0,1,10,15,11,1959,2011,2005,2,5,12,1,6,6,30.0,0
0.0,5,10.0,1,22,10,23,1974,2011,2010,6,10,8,5,0,0,36.0,0
0.0,4,5.0,1,22,6,3,1979,2011,2011,2,7,7,3,2,6,46.0,0
0.0,20,1.0,1,26,1,30,1954,2011,2011,6,11,10,5,1,6,187.0,0
0.0,10,10.0,1,3,20,18,1982,2011,2011,7,12,12,5,1,6,18.0,0
2.0,7,10.0,1,1,21,2,1977,2011,2010,1,9,5,5,2,6,50.0,0
0.0,7,1.0,1,11,14,5,1980,2011,2009,6,7,1,2,3,0,36.0,0
1.0,2,10.0,1,20,20,25,1986,2011,2009,7,9,11,6,1,2,18.0,0
0.0,15,1.0,1,1,16,26,1972,2012,2011,1,1,12,5,0,0,30.0,0
2.0,7,1.0,1,27,12,8,1978,2011,2011,5,12,12,5,0,3,25.0,0
0.0,15,1.0,1,26,8,4,1981,2011,2011,9,9,9,5,3,6,100.0,0
0.0,21,20.0,1,2,21,20,1962,2011,2011,6,9,9,5,2,1,18.0,0
0.0,1,1.0,1,14,28,25,1974,2011,2011,9,9,9,5,2,6,36.0,0
0.0,20,10.0,1,13,11,10,1985,2011,2007,6,10,9,3,1,0,50.0,1
0.0,22,2.0,1,7,28,25,1981,2011,2011,1,9,9,2,2,6,18.0,0
0.0,10,1.0,1,17,18,13,1973,2011,2011,6,7,7,6,0,2,20.0,0
1.0,5,0.0,1,11,26,23,1972,2011,2011,1,7,7,1,1,5,140.0,0
0.0,15,1.0,1,3,4,26,1964,2012,2011,8,1,12,0,2,0,30.0,0
0.0,32,1.0,1,28,17,9,1978,2011,2010,9,5,3,3,1,1,18.0,0
3.0,20,20.0,1,11,2,21,1958,2012,2008,10,2,4,5,3,0,600.0,0
1.0,30,1.0,1,16,25,3,1986,2011,2010,10,9,6,3,6,3,46728.0,0
0.0,10,2.0,1,19,28,20,1964,2011,2011,1,9,9,6,2,1,18.0,0
2.0,15,1.0,1,26,26,25,1978,2011,2011,1,10,10,3,2,1,30.0,0
0.0,20,1.0,1,20,11,9,1961,2012,2012,5,1,1,5,2,0,25.0,0
0.0,10,3.0,1,20,3,18,1982,2011,2011,1,11,9,2,3,6,36.0,0
0.0,1,2.0,2,3,26,18,1983,2011,2011,1,6,5,0,6,2,36.0,1
2.0,8,10.0,1,15,9,20,1972,2012,2011,3,1,10,2,0,3,50.0,0
1.0,20,4.0,1,1,1,14,1983,2011,2011,9,12,7,3,3,3,25068.0,0
0.0,15,1.0,1,9,30,29,1970,2011,2011,7,11,11,3,2,1,30.0,0
2.0,10,2.0,1,20,4,27,1966,2011,2011,8,5,4,5,2,2,3162.0,0
2.0,7,1.0,1,7,15,21,1975,2011,2009,12,11,7,6,1,1,20.0,0
4.0,20,1.0,2,9,9,2,1979,2011,2011,10,8,8,1,1,1,36.0,0
1.0,1,1.0,1,27,30,10,1981,2011,2011,10,10,10,1,6,0,20.0,0
0.0,15,1.0,1,3,26,24,1980,2012,2012,8,1,1,6,3,1,36.0,0
1.0,10,1.0,1,11,6,4,1974,2011,2011,7,12,12,3,1,6,36.0,0
0.0,19,2.0,1,8,15,12,1988,2011,2011,3,5,5,1,6,3,18.0,0
2.0,1,1.0,1,22,5,4,1979,2012,2012,7,4,4,6,3,2,36.0,1
0.0,15,1.0,1,1,21,9,1968,2011,2009,3,9,9,4,2,2,30.0,0
0.0,1,1.0,2,7,23,21,1948,2011,2011,11,8,8,6,1,6,20.0,0
2.0,7,1.0,1,10,25,7,1968,2011,2011,10,7,7,3,0,3,20.0,0
1.0,30,2.0,1,19,21,16,1971,2012,2010,8,2,2,3,1,1,18.0,0
0.0,2,2.0,2,4,21,10,1966,2011,2007,10,8,12,1,6,0,18.0,0
1.0,5,8.0,1,15,15,3,1980,2011,2011,3,12,3,5,3,3,45912.0,0
0.0,28,2.0,1,6,9,18,1983,2011,2006,9,8,10,1,1,2,30.0,0
2.0,25,21.0,1,13,4,19,1958,2011,2011,2,10,9,3,1,0,50.0,0
